District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position,Winner,Winning Party,Lost By Votes,Lost By (percentage)
BELGAUM ,Nippani,GEN,KAKASO PANDURANG PATIL,M,GEN,57,INC,63198,2,JOLLE SHASHIKALA ANNASAHEB,BJP,18662,22.80
BELGAUM ,Chikkodi-Sadalga,GEN,KAVATAGIMATH MAHANTESH MALLIKARJUN,M,,,BJP,62816,2,GANESH PRAKASH HUKKERI,INC,31820,33.62
BELGAUM ,Athani,GEN,MAHESH IRANAGOUDA KUMATHALLI,M,GEN,51,INC,50528,2,LAXMAN SANGAPPA SAVADI,BJP,23771,31.99
BELGAUM ,Kagwad,GEN,SHRIMANT BALASAHEB PATIL,M,GEN,57,JD(S),38897,2,BHARAMGOUD ALAGOUD KAGE,BJP,2887,6.91
BELGAUM ,Kudachi,SC,GHATAGE SHAMA BHIMA,M,SC,50,INC,24823,2,P.RAJEEV,BSRCP,46234,65.07
BELGAUM ,Raybag,SC,PRADEEP RAMU MALAGI,M,SC,43,IND,36706,2,AIHOLE DURYODHAN MAHALINGAPPA,BJP,829,2.21
BELGAUM ,Hukkeri,GEN,RAVI BASAVARAJ KARALE,M,GEN,47,INC,24484,2,UMESH VISHWANATH KATTI,BJP,57326,70.07
BELGAUM ,Arabhavi,GEN,UTAGI RAMAPPA KAREPPA,M,GEN,39,INC,24062,2,BALACHANDRA LAXMANRAO JARKIHOLI,BJP,75221,75.76
BELGAUM ,Gokak,GEN,ASHOK NINGAYYASWAMI PUJARI,M,GEN,55,JD(S),51170,2,JARKIHOLI RAMESH LAXMANRAO,INC,28005,35.37
BELGAUM ,Yemkanmardi,ST,ASTAGI MARUTI MALLAPPA,M,ST,34,BJP,46376,2,SATISH LAXMANARAO JARAKIHOLI,INC,24350,34.43
BELGAUM ,Belgaum Uttar,GEN,RENU SUHAS KILLEKAR,F,GEN,35,IND,26915,2,FAIROZ NURUDDIN SAITH,INC,18210,40.35
BELGAUM ,Belgaum Dakshin,GEN,ABHAY PATIL,M,GEN,43,BJP,48116,2,SAMBHAJI LAKSHMAN PATIL,IND,6310,11.59
BELGAUM ,Belgaum Rural,GEN,KINEKAR MANOHAR KALLAPPA,M,GEN,58,IND,36987,2,SANJAY B PATIL,BJP,1335,3.48
BELGAUM ,Khanapur,GEN,RAFIQUE KHATALSAB KHANAPURI,M,GEN,50,INC,20903,2,ARVIND CHANDRAKANT PATIL,IND,16152,43.59
BELGAUM ,Kittur,GEN,SURESH SHIVARUDRAPPA MARIHAL,M,GEN,52,BJP,35634,2,INAMADAR  DANAPPAGOUDA BASANAGOUDA,INC,18290,33.92
BELGAUM ,Bailhongal,GEN,JAGADISH C. METGUD,M,GEN,53,BJP,37088,2,DR|| VISHWANATH IRANAGOUDA PATIL,KJP,3621,8.89
BELGAUM ,Saundatti yellamma,GEN,RAVINDRA BHUPALAPPA YALIGAR,M,GEN,48,INC,30392,2,ANAND ALIAS VISHWANATH CHANDRASHEKHAR MAMANI,BJP,16042,34.55
BELGAUM ,Ramdurg,GEN,YADAWAD SHIVALINGAPPA MAHADEVAPPA ,M,GEN,60,BJP,37326,2,ASHOK MAHADEVAPPA PATTAN,INC,4984,11.78
BAGALKOT ,Mudhol,SC,TIMMAPUR.RAMAPPA. BALAPPA.,M,SC,50,INC,59549,2,GOVIND.M.KARJOL,BJP,5178,8.00
BAGALKOT ,Terdal,GEN,SIDDU SAVADI,M,GEN,54,BJP,67590,2,UMASHREE,INC,2599,3.70
BAGALKOT ,Jamkhandi,GEN,JAGADISH GUDAGUNTI,M,GEN,58,IND,27993,2,SIDDU B. NYAMAGOUDA,INC,21152,43.04
BAGALKOT ,Bilgi,GEN,MURAGESH. RUDRAPPA. NIRANI,M,GEN,47,BJP,55417,2,J . T. PATIL,INC,11238,16.86
BAGALKOT ,Badami,GEN,MAHANTESH GURUPADAPPA MAMADAPUR,M,GEN,46,JD(S),42333,2,CHIMMANAKATTI BALAPPA BHIMAPPA,INC,15113,26.31
BAGALKOT ,Bagalkot,GEN,CHARANTIMATH VEERANNA CHANDRASHEKHARAYYA,M,GEN,54,BJP,65316,2,METI HULLAPPA YAMANAPPA,INC,2900,4.25
BAGALKOT ,Hungund,GEN,DODDANAGOUDA G PATIL,M,GEN,56,BJP,56923,2,KASHAPPANAVAR VIJAYANAND SHIVASHANKRAPPA,INC,15797,21.72
BIJAPUR ,Muddebihal,GEN,VIMALABAI JAGADEVRAO DESHMUKH,F,GEN,64,KJP,22545,2,APPAJI URF CHANNABASAVARAJ SHANKARAO NADAGOUD,INC,12202,35.12
BIJAPUR ,Devar Hippargi,GEN,SOMANAGOUDA. B. PATIL (SASANUR),M,GEN,48,BJP,28135,2,AMINAPPAGOUDA SANGANAGOUDA PATIL,INC,8096,22.35
BIJAPUR ,Basavana Bagevadi,GEN,BELLUBBI SANGAPPA KALLAPPA,M,GEN,59,BJP,36653,2,SHIVANAND S PATIL,INC,19676,34.93
BIJAPUR ,Babaleshwar,GEN,PATIL  VIJUGOUDA,M,GEN,50,JD(S),57706,2,M.B.PATIL,INC,4355,7.02
BIJAPUR ,Bijapur City,GEN,BASANAGOUDA R PATIL (YATNAL),M,GEN,50,JD(S),39235,2,MAKBUL S BAGAWAN,INC,9380,19.29
BIJAPUR ,Nagthan,SC,DEVANAND PHULSING CHAVAN,M,SC,43,JD(S),44903,2,RAJU ALAGUR,INC,667,1.46
BIJAPUR ,Indi,GEN,RAVIKANT SHANKREPPA PATIL,M,GEN,56,KJP,25260,2,YASHAVANTARAYAGOUDA VITTALAGOUDA PATIL,INC,33302,56.87
BIJAPUR ,Sindgi,GEN,MANAGULI MALLAPPA CHANNAVEERAPPA,M,GEN,77,JD(S),37082,2,BHUSANUR RAMESH BALAPPA,BJP,752,1.99
GULBARGA,Afzalpur,GEN,M.Y.PATIL,M,GEN,72,KJP,32855,2,MALIKAYYA VENKAYYA GUTTEDAR,INC,5238,13.75
GULBARGA,Jevargi,GEN,DODDAPPA GOUDA S. PATIL NARIBOLA,M,GEN,41,BJP,30338,2,AJAY DHARAM SINGH,INC,36700,54.75
YADGIR,Shorapur,ST,NARASIMHANAYAK (RAJUGOUDA),M,ST,35,JD(S),60958,2,RAJA VENKATAPPA NAYAK,INC,4075,6.27
YADGIR,Shahapur,GEN,SHARANABASAPPAGOUDA DARSHANPUR,M,GEN,53,INC,49128,2,GURU PATIL SHIRAVAL,KJP,5796,10.55
YADGIR,Yadgir,GEN,VEER BASWANT REDDY,M,GEN,61,KJP,31330,2,DR. MAALAKAREDDY,INC,9104,22.52
YADGIR,Gurmitkal,GEN,NAGANA GOUDA KANDAKURA,M,GEN,67,JD(S),34401,2,BABURAO CHINCHANASOOR,INC,1650,4.58
GULBARGA,Chittapur,SC,VALMIKI NAIK,M,SC,65,BJP,38188,2,PRIYANK M. KHARGE,INC,31191,44.96
GULBARGA,Sedam,GEN,RAJKUMAR PATIL,M,GEN,38,BJP,41651,2,DR SHARANPRAKASH PATIL,INC,11895,22.21
GULBARGA,Chincholi,SC,SUNIL VALLYAPUR,M,SC,47,KJP,32539,2,DR UMESH G JADAV,INC,26060,44.47
GULBARGA,Gulbarga Rural,SC,REVUNAYAK BELAMGI,M,SC,72,BJP,32866,2,G.RAMKRISHNA,INC,7209,17.99
GULBARGA,Gulbarga Dakshin,GEN,SHASHIL.G.NAMOSHI,M,GEN,57,JD(S),26880,2,DATTATRAYA C. PATIL REVOOR (APPU GOUDA),BJP,9970,27.06
GULBARGA,Gulbarga Uttar,GEN,NASIR HUSSAIN USTAD,M,GEN,36,KJP,30377,2,QAMAR UL ISLAM,INC,20121,39.85
GULBARGA,Aland,GEN,GUTTEDAR SUBHASH RUKMAYYA,M,GEN,61,JD(S),49971,2,B.R. PATIL,KJP,17114,25.51
BIDAR ,Basavakalyan,GEN,B. NARAYANRAO,M,GEN,58,INC,21601,2,MALLIKARJUN SIDRAMAPPA KHUBA,JD(S),15893,42.39
BIDAR ,Homnabad,GEN,M. NASEENODDIN PATEL,M,GEN,51,JD(S),40194,2,RAJASHEKHAR BASAVARAJ PATIL,INC,24500,37.87
BIDAR ,Bidar South,GEN,BANDEPPA KHASHEMPUR,M,GEN,49,JD(S),31975,2,ASHOK KHENY,KMP,15788,33.05
BIDAR ,Bidar,GEN,PRAKASH KANDRE,M,,,BJP,47417,2,RAHIM KHAN,INC,22721,32.39
BIDAR ,Bhalki,GEN,SIDRAM D.K.,M,GEN,44,KJP,48343,2,ESHWARA KHANDRE,INC,9669,16.67
BIDAR ,Aurad,SC,DHANAJI BHEEMA JADHAV,M,SC,38,KJP,38635,2,PRABHU B. CHAVAN,BJP,23191,37.51
RAICHUR ,Raichur Rural,ST,RAJA RAYAPPA NAIK,M,ST,58,INC,47227,2,THIPPARAJU,BJP,3270,6.48
RAICHUR ,Raichur,GEN,SYED YASIN,M,GEN,63,INC,37392,2,DR. SHIVARAJ PATIL S.,JD(S),7871,17.39
RAICHUR ,Manvi,ST,RAJA VENKATAPPA NAYAK RAJA AMBANNA NAYAK,M,ST,42,JD(S),43632,2,G.HAMPAYYA SAHUKAR BALLATAGI,INC,6987,13.80
RAICHUR ,Devadurga,ST,A RAJASHEKAR NAYAK,,,,INC,55776,2,K SHIVANNA GOUDA NAYAKA,BJP,16871,23.22
RAICHUR ,Lingsugur,SC,D.S.HOOLAGERI,M,SC,47,INC,30451,2,MANAPPA D.VAJJAL,JD(S),1286,4.05
RAICHUR ,Sindhanur,GEN,K.KARIYAPPA,M,GEN,47,BSRCP,36197,2,BADARLI HAMPANAGOUDA,INC,13016,26.45
RAICHUR ,Maski,ST,MAHADEVAPPA GOWDA,M,ST,67,KJP,26405,2,PRATAPGOWDA PATIL,INC,19147,42.03
KOPPAL ,Kushtagi,GEN,AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR,M,GEN,58,INC,40970,2,DODDANAGOUDA HANAMAGOUDA PATIL,BJP,3037,6.90
KOPPAL ,Kanakagiri,SC,BASAVARAJ DADHESUGURU,M,SC,33,KJP,44399,2,SHIVARAJ SANGAPPA TANGADAGI,INC,5052,10.22
KOPPAL ,Gangawati,GEN,PARANNA ESHWARAPPA MUNAVALLI,M,GEN,58,BJP,30514,2,IQBAL ANSARI,JD(S),29789,49.40
KOPPAL ,Yelburga,GEN,ACHAR HALAPPA BASAPPA,M,GEN,60,BJP,35488,2,BASAVARAJ RAYARADDY,INC,16900,32.26
KOPPAL ,Koppal,GEN,KARADI SANGANNA AMARAPPA,M,GEN,59,BJP,54274,2,K.RAGHAVENDRA BASAVARAJ HITNAL,INC,26788,33.05
GADAG,Shirahatti,SC,RAMAPPA SOBEPPA LAMANI,M,SC,60,BJP,44423,2,DODDAMANI RAMAKRISHNA SHIDDLINGAPPA,INC,315,0.70
GADAG,Gadag,GEN,ANIL PRAKASHBABU MENSINKAI,M,GEN,39,BSRCP,36748,2,H K PATIL,INC,33727,47.86
GADAG,Ron,GEN,KALAKAPPA GURUSHANTHAPPA BANDI,M,GEN,44,BJP,56366,2,GURUPADAGOUDA  SANGANAGOUDA  PATIL,INC,18227,24.44
GADAG,Nargund,GEN,C C PATIL,M,GEN,54,BJP,51035,2,B R YAVAGAL,INC,8585,14.40
DHARWAD ,Navalgund,GEN,PATIL  MUNENAKOPPA SHANKAR,M,GEN,45,BJP,41779,2,N.H.KONARADDI,JD(S),2669,6.00
DHARWAD ,Kundgol,GEN,CHIKKANGOUDRA SIDDANGOUDA ISHWARGOUD,M,GEN,61,KJP,31618,2,CHANNABASAPPA SATYAPPA SHIVALLI,INC,21072,39.99
DHARWAD ,Dharwad,GEN,AMRUT AYYAPPA DESAI,M,GEN,36,JD(S),35133,2,VINAY KULKARNI,INC,18320,34.27
DHARWAD ,Hubli-dharwad-East,SC,VEERABHADRAPPA HALAHARAVI,M,SC,49,BJP,28831,2,ABBAYYA PRASAD,INC,13522,31.93
DHARWAD ,Hubli-dharwad-Central,GEN,DR. MAHESH NALWAD,M,GEN,49,INC,40447,2,JAGADISH SHETTAR,BJP,17754,30.50
DHARWAD ,Hubli-dharwad- West,GEN,S. R. MOREY,M,GEN,72,INC,30821,2,ARAVIND CHANDRAKANT BELLAD,BJP,11182,26.62
DHARWAD ,Kalghatgi,GEN,NIMBANNAVAR CHANNAPPA MALLAPPA,M,GEN,65,KJP,31141,2,SANTHOSH S LAD,INC,45661,59.45
UTTARA KANNADA ,Haliyal,GEN,SUNIL  HEGADE,M,GEN,47,JD(S),49066,2,DESHPANDE. R. V.,INC,5939,10.80
UTTARA KANNADA ,Karwar,GEN,ASNOTIKAR ANAND VASANT,M,GEN,33,BJP,44847,2,SANTEESH SAIL KRISHNA,IND,35880,44.45
UTTARA KANNADA ,Kumta,GEN,DINAKAR KESHAV SHETTY,M,GEN,56,JD(S),36336,2,SHARDA MOHAN SHETTY,INC,420,1.14
UTTARA KANNADA ,Bhatkal,GEN,ENAYATHULLAH SHABANDRI,M,GEN,50,JD(S),27435,2,MANKALA SUBBA VAIDYA,IND,9884,26.49
UTTARA KANNADA ,Sirsi,GEN,AYYAPPANAGAR DEEPAK HONNAVAR,M,GEN,52,INC,39795,2,ANANT KAGERI VISHWESHWAR HEGDE,BJP,3059,7.14
UTTARA KANNADA ,Yellapur,GEN,PATIL VEERABHADRAGOUDA SHIVANAGOUDA,M,GEN,54,BJP,33533,2,ARBAIL SHIVARAM HEBBAR,INC,24492,42.21
HAVERI ,Hangal,GEN,UDASI C.M,M,GEN,77,KJP,60638,2,MANOHAR H. TAHASHILDAR,INC,5686,8.57
HAVERI ,Shiggaon,GEN,KHADRI SAYED AZIMPEER SAYED KADERBASHA,M,GEN,49,INC,63504,2,BASAVARAJ BOMMAI,BJP,9503,13.02
HAVERI ,Haveri,SC,NEHARU OLEKARA,M,SC,56,KJP,52911,2,RUDRAPPA MANAPPA LAMANI,INC,30208,36.34
HAVERI ,Byadgi,GEN,SHIVARAJ SAJJANAR,M,GEN,54,KJP,44348,2,BASAVARAJ NEELAPPA SHIVANNANAVAR,INC,13359,23.15
HAVERI ,Hirekerur,GEN,B.C.PATIL,M,GEN,57,INC,50017,2,U. B. BANAKAR,KJP,2606,4.95
HAVERI ,Ranibennur,GEN,R.SHANKAR,M,GEN,48,IND,46992,2,KOLIWAD K.B,INC,6788,12.62
BELLARY ,Hadagalli,SC,B.CHANDRANAIK,M,SC,51,BJP,18526,2,P.T.PARAMESHWARANAIK,INC,40810,68.78
BELLARY ,Hagaribommanahalli,SC,K NEMARAJA NAIK,M,SC,43,BJP,51847,2,BHEEMANAIK LBP,JD(S),125,0.24
BELLARY ,Vijayanagara,GEN,H.ABDUL WAHAB,M,GEN,70,INC,39358,2,ANAND SINGH,BJP,30637,43.77
BELLARY ,Kampli,ST,J.N. GANESH,M,ST,34,IND,36462,2,T.H. SURESH BABU,BSRCP,34396,48.54
BELLARY ,Siruguppa,ST,M.S. SOMALINGAPPA,M,ST,53,BJP,43676,2,B.M. NAGARAJA,INC,21814,33.31
BELLARY ,Bellary,ST,OBALESH,M,,,BJP,50802,2,NY GOPALAKRISHNA,INC,33104,39.45
BELLARY ,Bellary City,GEN,S. MURALI KRISHNA,M,GEN,44,BSRCP,33898,2,ANIL LAD,INC,18200,34.93
BELLARY ,Sandur,ST,DHANANJAYA.R,M,ST,43,JD(S),27615,2,E.TUKARAM,INC,34631,55.64
BELLARY ,Kudligi,ST,S. VENKATESHA,M,ST,50,INC,46674,2,B. NAGENDRA,IND,24803,34.70
CHITRADURGA ,Molakalmuru,ST,N. Y. GOPALAKRISHNA,M,ST,60,INC,69658,2,S. THIPPESWAMY,BSRCP,7169,9.33
CHITRADURGA ,Challakere,ST,K T KUMARASWAMY,M,ST,29,KJP,37074,2,T RAGHUMURTHY,INC,23123,38.41
CHITRADURGA ,Chitradurga,GEN,BASAVARAJAN (BASANNA),M,GEN,50,JD(S),35510,2,G.H.THIPPAREDDY,BJP,26718,42.94
CHITRADURGA ,Hiriyur,GEN,A.KRISHNAPPA,M,GEN,68,JD(S),70456,2,D.SUDHAKAR,INC,1205,1.68
CHITRADURGA ,Hosadurga,GEN,GULIHATTI D. SHEKAR,M,SC,44,IND,37993,2,B.G. GOVINDAPPA,INC,20017,34.51
CHITRADURGA ,Holalkere,SC,M. CHANDRAPPA,M,SC,58,KJP,63992,2,H. ANJANEYA,INC,12864,16.74
DAVANGERE ,Jagalur,ST,S.V.RAMACHANDRA,M,ST,54,KJP,40915,2,H.P.RAJESH,INC,36890,47.41
DAVANGERE ,Harapanahalli,GEN,G KARUNAKARAREDDY,M,GEN,51,BJP,48548,2,M P RAVINDRA,INC,8406,14.76
DAVANGERE ,Harihar,GEN,S.RAMAPPA,M,GEN,54,INC,40613,2,H.S. SHIVASHANKAR,JD(S),19053,31.93
DAVANGERE ,Davanagere North,GEN,S A RAVINDRANATH,M,GEN,67,BJP,30821,2,S S MALLIKARJUNA,INC,57280,65.02
DAVANGERE ,Davanagere South,GEN,KAREKATTE SYED SAIFULLA,M,GEN,65,JD(S),26162,2,SHAMANUR SHIVASHANKARAPPA,INC,40158,60.55
DAVANGERE ,Mayakonda,SC,N.LINGANNA,M,SC,60,KJP,31741,2,K.SHIVAMURTHY,INC,694,2.14
